id,query,relevant,category,max_score,top_1_score,top_2_score,top_3_score,top_chunk_id,top_title,top_url
1,What is Decentrawood?,True,core_decentrawood,0.6672835946083069,0.6672835946083069,0.6581438779830933,0.6007773280143738,chunk-what-is-decentrawood-overview,What is Decentrawood?,https://decentrawood.com/what-is-decentrawood
2,What is the purpose of Decentrawood?,True,core_decentrawood,0.6006457805633545,0.6006457805633545,0.599681556224823,0.5566926002502441,chunk-about-us-platform,About Us — Decentrawood,https://decentrawood.com/about-us
3,What is LAND in Decentrawood?,True,core_decentrawood,0.7411808967590332,0.7411808967590332,0.5621649622917175,0.5382070541381836,chunk-about-us-land,About Us — Decentrawood,https://decentrawood.com/about-us
4,What can I do with LAND?,True,core_decentrawood,0.579055905342102,0.579055905342102,0.33108755946159363,0.2731991112232208,chunk-about-us-land,About Us — Decentrawood,https://decentrawood.com/about-us
5,What is the DEOD token used for?,True,deod,0.776409924030304,0.776409924030304,0.670711100101471,0.4986094832420349,chunk-about-us-deod,About Us — Decentrawood,https://decentrawood.com/about-us
6,Tell me about DEOD tokenomics.,True,deod,0.6521633863449097,0.6521633863449097,0.6210339665412903,0.5224822163581848,chunk-about-us-deod,About Us — Decentrawood,https://decentrawood.com/about-us
7,What is the current DEOD contract address?,True,deod,0.5962117910385132,0.5962117910385132,0.5385321378707886,0.4158811867237091,chunk-deodtoken-v2-contract,DEOD Tokenomics,https://decentrawood.com/DeodToken
8,Which blockchain is DEOD v2 on?,True,deod,0.6423966288566589,0.6423966288566589,0.5068978667259216,0.47511717677116394,chunk-deodtoken-v2-contract,DEOD Tokenomics,https://decentrawood.com/DeodToken
9,What is the maximum DEOD supply?,True,deod,0.5390947461128235,0.5390947461128235,0.47728055715560913,0.44466814398765564,chunk-deodtoken-v2-contract,DEOD Tokenomics,https://decentrawood.com/DeodToken
10,How many DEOD tokens were burned?,True,deod,0.4801419973373413,0.4801419973373413,0.46553224325180054,0.451155424118042,chunk-deodtoken-v2-contract,DEOD Tokenomics,https://decentrawood.com/DeodToken
11,What is the holder airdrop allocation?,True,deod,0.4687662720680237,0.4687662720680237,0.3417953848838806,0.23891037702560425,chunk-deodtoken-allocation,DEOD Tokenomics,https://decentrawood.com/DeodToken
12,How are the holder airdrop tokens released?,True,deod,0.4442216753959656,0.4442216753959656,0.32339003682136536,0.3076428174972534,chunk-deodtoken-allocation,DEOD Tokenomics,https://decentrawood.com/DeodToken
13,Where can I buy DEOD?,True,trade,0.5423946380615234,0.5423946380615234,0.5301225781440735,0.5209539532661438,chunk-about-us-deod,About Us — Decentrawood,https://decentrawood.com/about-us
14,How do I buy DEOD on an exchange?,True,trade,0.6503323912620544,0.6503323912620544,0.5168054699897766,0.48256075382232666,chunk-trade-exchanges,Buy DEOD — Trade,https://decentrawood.com/trade
15,How do I buy DEOD on PancakeSwap?,True,trade,0.5732056498527527,0.5732056498527527,0.4657346308231354,0.4171404242515564,chunk-trade-exchanges,Buy DEOD — Trade,https://decentrawood.com/trade
16,Which exchanges support DEOD?,True,trade,0.5878863334655762,0.5878863334655762,0.5639128684997559,0.520153284072876,chunk-decentrawood-home-arbitrage,Decentrawood — Home,https://decentrawood.com/
17,What is DEOD arbitrage?,True,trade,0.6323390603065491,0.6323390603065491,0.5184316635131836,0.44194480776786804,chunk-decentrawood-home-arbitrage,Decentrawood — Home,https://decentrawood.com/
18,Show me the DEOD trading page.,True,trade,0.6112423539161682,0.6112423539161682,0.5655315518379211,0.5251590609550476,chunk-decentrawood-home-arbitrage,Decentrawood — Home,https://decentrawood.com/
19,What games can I play?,True,gaming,0.5287941694259644,0.5287941694259644,0.47527122497558594,0.4611422121524811,chunk-gaming-games-overview,Decentrawood Games — Full List,https://gaming.decentrawood.com
20,Take me to the Gaming Platform.,True,gaming,0.4246863126754761,0.4246863126754761,0.3337019681930542,0.31999242305755615,chunk-what-is-decentrawood-gaming-hub,What is Decentrawood?,https://decentrawood.com/what-is-decentrawood
21,What is DRC?,True,gaming,0.494831383228302,0.494831383228302,0.31720060110092163,0.29292914271354675,chunk-gaming-drc,Decentrawood Gaming,https://gaming.decentrawood.com/
22,How many coins does first place get in DRC?,True,gaming,0.6231153607368469,0.6231153607368469,0.47886452078819275,0.465238094329834,chunk-gaming-drc,Decentrawood Gaming,https://gaming.decentrawood.com/
23,What is DEOD HUNT?,True,gaming,0.6104472875595093,0.6104472875595093,0.5026804804801941,0.4468281865119934,chunk-gaming-deod-hunt,Decentrawood Gaming,https://gaming.decentrawood.com/
24,How many levels does DEOD HUNT have?,True,gaming,0.7188723087310791,0.7188723087310791,0.46911320090293884,0.3963293433189392,chunk-gaming-deod-hunt,Decentrawood Gaming,https://gaming.decentrawood.com/
